ANNO,MES,ENERGIA_GENERADA,ENERGIA_DEPOSITADA,ENERGIA_RETIRADA,IMPORTE_POR_ENERGIA_RETIRADA,EMPRESA,CODIGO_TARIFA,CODIGO_TARIFA1,TOTAL_CONSUMO_KWH,TOTAL_IMPORTE_ENE,Suma de DISTRITO,Recuento de DISTRITO,Provincia1,CONSUMO_NATURAL,SECTOR,Data_Check
2018,6,1006,442,493,13735,ICE,4,Comercios y servicios monómica,44,5138,41003,1,Heredia,1101,Servicios,TRUE
2018,7,982,430,481,12876,ICE,4,Comercios y servicios monómica,326,37995,11907,1,San José,1359,Servicios,TRUE
2018,8,1096,469,537,14961,ICE,4,Comercios y servicios monómica,365,42402,11907,1,San José,1529,Servicios,TRUE
2018,9,1002,484,491,13679,ICE,4,Comercios y servicios monómica,273,31714,11907,1,San José,1282,Servicios,TRUE
2018,10,976,451,478,13317,ICE,4,Comercios y servicios monómica,429,49601,11907,1,San José,1432,Servicios,TRUE
2018,2,2827,442,442,12314,ICE,6,Industrial monómica,1275,147428,20505,1,Alajuela,4102,Industrial,TRUE
2018,4,3288,454,454,12648,ICE,6,Industrial monómica,1556,181694,20505,1,Alajuela,4844,Industrial,TRUE
2018,6,3617,801,801,22316,ICE,6,Industrial monómica,76,8875,10401,1,San José,3693,Industrial,TRUE
2018,7,159,64,64,1713,ICE,1,Residencial,387,41632,20401,1,Alajuela,546,Residencial,TRUE
2018,8,368,141,141,3928,ICE,1,Residencial,256,23213,20401,1,Alajuela,624,Residencial,TRUE
2018,9,399,152,152,4235,ICE,1,Residencial,253,22796,20401,1,Alajuela,652,Residencial,TRUE
2018,10,368,150,15000,417900,ICE,1,Residencial,189,14573,20401,1,Alajuela,15407,Residencial,TRUE
2018,5,134,197,65,1811,ICE,1,Residencial,284,27246,50906,1,Guanacaste,286,Residencial,FALSE
2018,6,134,87,65,1811,ICE,1,Residencial,110,8529,51002,1,Guanacaste,222,Residencial,TRUE
2018,7,196,126,96,2570,ICE,1,Residencial,242,21282,50906,1,Guanacaste,408,Residencial,TRUE
2018,8,174,139,85,2368,ICE,1,Residencial,184,14194,50906,1,Guanacaste,304,Residencial,TRUE
2018,9,174,138,85,2368,ICE,1,Residencial,164,12651,50906,1,Guanacaste,285,Residencial,TRUE
2018,10,160,125,79,2201,ICE,1,Residencial,275,25564,50906,1,Guanacaste,389,Residencial,TRUE
2018,4,1275,532,532,14822,ICE,1,Residencial,1515,197703,20905,1,Alajuela,2790,Residencial,TRUE
2018,5,1153,445,445,12398,ICE,1,Residencial,1516,199406,20905,1,Alajuela,2669,Residencial,TRUE
2018,4,911,484,446,12426,ICE,1,Residencial,524,60688,60601,1,Puntarenas,1397,Residencial,TRUE
2018,5,805,425,395,11005,ICE,1,Residencial,571,67352,60601,1,Puntarenas,1346,Residencial,TRUE
2018,4,1238,401,401,11172,ICE,4,Comercios y servicios monómica,1251,145619,20501,1,Alajuela,2489,Servicios,TRUE
2018,5,974,57,368,10252,ICE,4,Comercios y servicios monómica,914,106728,20501,1,Alajuela,2199,Servicios,TRUE
2018,4,454,199,199,5544,ICE,4,Comercios y servicios monómica,447,51867,20507,1,Alajuela,901,Servicios,TRUE
2018,5,368,900,161,4485,ICE,4,Comercios y servicios monómica,281,32812,20507,1,Alajuela,-90,Servicios,FALSE
2018,4,930,346,346,9640,ICE,1,Residencial,751,91925,61102,1,Puntarenas,1681,Residencial,TRUE
2018,5,870,352,352,9807,ICE,1,Residencial,113,8762,61102,1,Puntarenas,983,Residencial,TRUE
2018,4,414,231,203,5656,ICE,1,Residencial,854,106227,61102,1,Puntarenas,1240,Residencial,TRUE
2018,5,213,350,104,2897,ICE,1,Residencial,314,31438,61102,1,Puntarenas,281,Residencial,FALSE
2018,6,850,318,417,11618,ICE,1,Residencial,106,8219,60401,1,Puntarenas,1055,Residencial,TRUE
2018,7,523,309,256,6853,ICE,1,Residencial,268,24963,61102,1,Puntarenas,738,Residencial,TRUE
2018,8,602,338,295,8219,ICE,1,Residencial,406,44066,61102,1,Puntarenas,965,Residencial,TRUE
2018,9,410,246,200,559707,ICE,1,Residencial,205,16123,61102,1,Puntarenas,569,Residencial,TRUE
2018,10,523,326,256,7132,ICE,1,Residencial,256,23103,61102,1,Puntarenas,709,Residencial,TRUE
2018,4,262,161,129,3594,ICE,1,Residencial,245,21728,20505,1,Alajuela,475,Residencial,TRUE
2018,5,210,40,102,2842,ICE,1,Residencial,300,29482,20505,1,Alajuela,572,Residencial,TRUE
2018,4,547,78,78,2173,ICE,1,Residencial,1053,134072,20904,1,Alajuela,1600,Residencial,TRUE
2018,5,460,63,63,1755,ICE,1,Residencial,420,46251,20904,1,Alajuela,880,Residencial,TRUE
2018,4,3428,1788,1679,46777,ICE,6,Industrial monómica,629,73090,20503,1,Alajuela,3948,Industrial,TRUE
2018,5,2701,1099,1324,36887,ICE,6,Industrial monómica,817,95401,20503,1,Alajuela,3743,Industrial,TRUE
2018,4,2605,1325,615,17134,ICE,4,Comercios y servicios monómica,0,4649,60601,1,Puntarenas,1895,Servicios,TRUE
2018,5,2071,838,683,19028,ICE,4,Comercios y servicios monómica,0,4671,60601,1,Puntarenas,1916,Servicios,TRUE
2018,1,395,172,172,4611,ICE,1,Residencial,651,78864,70201,1,Limón,1046,Residencial,TRUE
2018,2,297,134,134,3733,ICE,1,Residencial,620,73478,70201,1,Limón,917,Residencial,TRUE
2018,3,512,296,288,8024,ICE,1,Residencial,221,18264,70201,1,Limón,725,Residencial,TRUE
2018,4,546,325,268,7466,ICE,1,Residencial,241,21038,70201,1,Limón,730,Residencial,TRUE
2018,5,427,50,209,5823,ICE,1,Residencial,374,39823,70201,1,Limón,960,Residencial,TRUE
2018,6,449,238,220,6129,ICE,1,Residencial,91,7056,30506,1,Cartago,522,Residencial,TRUE
2018,7,376,148,184,4926,ICE,1,Residencial,627,75164,70201,1,Limón,1039,Residencial,TRUE
2018,8,320,135,157,4374,ICE,1,Residencial,428,47125,70201,1,Limón,770,Residencial,TRUE
2018,9,452,193,221,6157,ICE,1,Residencial,609,72287,70201,1,Limón,1089,Residencial,TRUE
