Month,TA
Apr-16,18
May-16,18
Jun-16,18
Jul-16,18
Aug-16,18
Sep-16,18
Oct-16,18
Nov-16,18
Dec-16,18
Jan-17,18
Feb-17,18
Mar-17,18
Apr-17,18
May-17,18
Jun-17,18
Jul-17,18
Aug-17,18
Sep-17,18
Oct-17,21.03
Nov-17,21.03
Dec-17,21.03
Jan-18,21.03
Feb-18,21.03
Mar-18,21.03
Apr-18,21.03
May-18,21.03
Jun-18,21.03
Jul-18,21.03
Aug-18,21.03
Sep-18,21.03
Oct-18,21.03
Nov-18,21.03
Dec-18,21.03
Jan-19,21.03
Feb-19,21.03
Mar-19,21.03
