Consumo,TCO,TCS,TIN,TMT,TMTb,TRE,TUD,Total general
159,114,5,4,0,0,2933,0,3056
160,122,10,4,0,0,3201,0,3337
161,117,5,5,0,0,2733,0,2860
162,116,6,4,0,0,2937,0,3063
163,107,9,4,0,0,2891,0,3011
164,145,7,4,0,0,2873,0,3029
165,141,5,1,0,0,3360,0,3507
166,114,7,3,0,0,2868,0,2992
167,105,9,5,0,0,2712,0,2831
168,127,10,3,0,0,2808,0,2948
169,122,10,1,0,0,2756,0,2889
170,121,8,3,0,0,3087,0,3219
171,115,8,4,0,0,2701,0,2828
172,102,10,6,0,0,2822,0,2940
173,101,8,2,0,0,2692,0,2803
174,116,11,3,0,0,2675,0,2805
175,118,7,3,0,0,2669,0,2797
176,119,3,3,0,0,2645,0,2770
177,104,12,4,0,0,2660,0,2780
178,128,9,1,0,0,2655,0,2793
179,81,8,1,0,0,2647,0,2737
180,179,19,2,0,0,4066,0,4266
181,111,10,3,0,0,2648,0,2772
182,104,11,0,0,0,2689,0,2804
183,98,8,4,0,0,2529,0,2639
184,113,14,7,0,0,2463,0,2597
185,107,6,2,0,0,2481,0,2596
186,90,5,4,0,0,2592,0,2691
187,86,4,4,0,0,2611,0,2705
188,107,9,2,0,0,2421,0,2539
189,101,10,2,0,0,2521,0,2634
190,98,16,1,0,0,2749,0,2864
191,108,6,4,0,0,2411,0,2529
192,93,6,4,0,0,2401,0,2504
193,98,10,2,0,0,2322,0,2432
194,98,5,3,0,0,2398,0,2504
195,111,13,5,0,0,2794,0,2923
196,110,8,8,0,0,2367,0,2493
197,102,8,1,0,0,2277,0,2388
198,102,8,4,0,0,2394,0,2508
199,98,11,3,0,0,2280,0,2392
200,106,7,4,0,0,2582,0,2699
201,95,11,3,0,0,2231,0,2340
202,106,7,2,0,0,2283,0,2398
203,91,9,3,0,0,2181,0,2284
204,107,11,3,0,0,2183,0,2304
205,95,8,3,0,0,2235,0,2341
206,88,8,1,0,0,2139,0,2236
207,89,11,2,0,0,2083,0,2185
208,100,6,1,0,0,2127,0,2234
209,101,6,1,0,0,2070,0,2178
210,143,11,5,0,0,3251,0,3410
211,108,8,0,0,0,2020,0,2136
212,92,4,2,0,0,1997,0,2095
213,77,6,3,0,0,2001,0,2087
214,88,9,4,0,0,1928,0,2029
215,101,9,3,0,0,2021,0,2134
216,98,6,0,0,0,1946,0,2050
217,91,8,7,0,0,1949,0,2055
218,97,9,3,0,0,1943,0,2052
219,99,2,3,0,0,1797,0,1901
220,88,10,1,0,0,2075,0,2174
221,83,3,3,0,0,1855,0,1944
222,88,6,0,0,0,1914,0,2008
223,103,1,3,0,0,1775,0,1882
224,72,5,1,0,0,1765,0,1843
225,114,9,4,0,0,2050,0,2177
226,74,8,5,0,0,1802,0,1889
227,82,5,2,0,0,1701,0,1790
228,72,6,2,0,0,1732,0,1812
229,84,6,2,0,0,1714,0,1806
230,98,9,3,0,0,1962,0,2072
231,84,13,1,0,0,1690,0,1788
232,103,13,2,0,0,1701,0,1819
233,93,5,1,0,0,1633,0,1732
234,93,5,1,0,0,1582,0,1681
235,76,8,1,0,0,1592,0,1677
236,106,9,1,0,0,1566,0,1682
237,73,3,3,0,0,1452,0,1531
238,81,4,1,0,0,1507,0,1593
239,66,7,4,0,0,1525,0,1602
240,120,10,7,0,0,2334,0,2471
241,67,4,0,0,0,1506,0,1577
242,75,9,1,0,0,1504,0,1589
243,76,7,1,0,0,1427,0,1511
244,78,3,3,0,0,1427,0,1511
245,85,7,2,0,0,1356,0,1450
246,84,5,2,0,0,1326,0,1417
247,75,6,5,0,0,1357,0,1443
248,89,5,5,0,0,1325,0,1424
249,94,4,3,0,0,1406,0,1507
250,97,5,1,0,0,1490,0,1593
251,83,7,0,0,0,1294,0,1384
252,73,2,3,0,0,1315,0,1393
253,81,5,1,0,0,1311,0,1398
254,71,8,2,0,0,1271,0,1352
255,92,5,2,0,0,1428,0,1527
256,82,6,3,0,0,1167,0,1258
257,69,4,3,0,0,1178,0,1254
258,75,6,1,0,0,1190,0,1272
259,68,8,4,0,0,1166,0,1246
260,73,6,3,0,0,1242,0,1324
261,75,6,0,0,0,1219,0,1300
262,78,2,4,0,0,1110,0,1194
263,70,7,0,0,0,1125,0,1202
264,62,4,2,0,0,1146,0,1214
265,74,8,4,0,0,1090,0,1176
266,79,3,2,0,0,1011,0,1095
267,71,9,2,0,0,1017,0,1099
268,74,7,6,0,0,965,0,1052
269,56,3,1,0,0,1025,0,1085
270,117,9,5,0,0,1643,0,1774
271,70,7,3,0,0,1017,0,1097
272,78,8,0,0,0,987,0,1073
273,65,3,1,0,0,992,0,1061
274,83,11,1,0,0,921,0,1016
275,62,2,0,0,0,963,0,1027
276,69,7,1,0,0,961,0,1038
277,64,5,4,0,0,974,0,1047
278,71,5,4,0,0,898,0,978
279,64,5,3,0,0,920,0,992
280,79,2,0,0,0,995,0,1076
281,85,7,1,0,0,832,0,925
282,73,4,0,0,0,902,0,979
283,65,3,0,0,0,844,0,912
284,62,6,1,0,0,834,0,903
285,81,5,2,0,0,1033,0,1121
286,68,9,2,0,0,823,0,902
287,77,4,1,0,0,791,0,873
288,69,4,1,0,0,875,0,949
289,72,0,5,0,0,802,0,879
290,63,8,2,0,0,900,0,973
